,product_id,star_rating,review_body
0,0983797706,5,This is an inspirational and insightful book that is well written and contains some profound methods to improve your thinking and improve your life. The ideas and methods that Robbins suggests are not just theory but I can attest from personal experience that they really work as I have successfully used some of the concepts. Fried summarizes the best personal development strategies and combines it with brilliant business principles to help you become the entrepreneur of your own existence. I LOVED it.
1,1423151283,5,"My twins are 3 and they love the pigeon books!  This one and \\""Don't let the pigeon drive the bus\\"" are their favorite.  The illustrations and humor of this author is so great.  I giggle as much as they do and I don't really mind reading it over and over :)  I would definitely give these as gifts too!"
2,1445604752,4,"Back in 1964, I was introduced to 'Johnnie' Johnson, the legendary RAF fighter ace, through reading his evocative WING LEADER autobiography. What a marvelous piece of writing that was; who would have thought a fighter ace could spin such memorable prose?!? Johnson's life and combat career are wonderfully chronicled in Dilip Sarkar's SPITFIRE ACE OF ACES, a 2011 Amberley Publishing release.<br /><br />With 38 1/2 kills, Johnson is the RAF's official top ace. All his kills were enemy fighters; all were scored while flying Spits. Yet, even more importantly, Johnson was one of the best fighter leaders the RAF produced during the war. These accomplishments resulted from Johnson being an avid hunter pre-war and an aggressive, enthusiastic sportsman who possessed the ability to motivate and lead men into combat. Initially flying with one of the most charismatic wing leaders - Douglas Bader - Johnson surpassed Bader, not only in terms of kills, but also in truly effective leadership that made every man in Johnson's unit feel important and part of a team.<br /><br />Sarkar does a fine job of relating Johnson's wartime career and the greatness inherent in the man. He interweaves material from interviews done with JEJ and his fellow RAF compatriots, Johnson's WING LEADER book, wartime news articles and official documents to create a multi-dimensional portrait. The text is illustarted with over 100 photographs, many of them rare.<br /><br />SPITFIRE ACE OF ACES is, very likely, THE definitive account of the life and times of this RAF legend. It deserves five stars. I had to give it four - actually 4 1/2 - because Sarkar didn't include an index.<br /><br />In any case, SPITFIRE ACE OF ACES is a wonderfully-researched, nicely-illustrated and appealing book that will appeal to all air combat enthusiasts. Highly recommended."
3,0393057941,5,"I disagree with those reviews that say this is not a book for beginners.  Perhaps if you just want to make a loaf of bread some weekend, then this book isn't for you.  But for \\""serious\\"" beginners who want to have success in short order,  this book is great!  The recipies, if followed closely, will lead to successful loaves and progressivly increased bread making skills.  I have had great success with sourdoughs and now bake with sourdough almost exclusively.<br /><br />I hope that the Cake Bible is as good."
4,1608322858,3,"Reading this book, I hoped to find more about success in life in general... but mostly what I found was about finding fulfillment in the daily grind. Don't get me wrong, I have nothing at all against making the most of fulfilling our responsibilities. We all need to do it. And really enjoying one's job, etc., is certainly a skill vital to having a great life. But when it comes to living -- just living -- there's more to life than \\""spicing up meetings.\\""<br /><br />And that's where this book left me feeling a bit left down. I think what it comes down to is this: Culberson makes a lot of assumptions that I and many others simply don't agree with. What he takes as the basic framework of life -- meetings, taxes, even having a job at all -- many others have managed successfully to do without. Take, for example, the inspiring story of the man who walked across America, [[ASIN:096387845X I Walked to the Moon and Almost Everybody Waved: The Curiously Inspiring Adventures of a Free Spirit Who Changed Lives]] by Ed Carlson.<br /><br />So if you are simply looking for a nice read on how to make the most of the rat race, I recommend Do It Well Make It Fun. But if you are looking for something more substantial that really digs in and questions common assumptions, I recommend looking somewhere else."
5,B001FVQAPW,5,"Rudolf Bultmann (1884-1976) was a German theologian and professor of New Testament at the University of Marburg. He was the author of many influential books, such as [[ASIN:1565630416 The History of the Synoptic Tradition]], [[ASIN:0684143909 Jesus and the Word]], etc. Karl Jaspers (1883-1969) was a German psychiatrist and existentialist philosopher, who wrote many important books such as [[ASIN:B000S6THQE Reasons and Existenz]][[ASIN:0812210107 Philosophy of Existence]], [[ASIN:0300097352 Way to Wisdom: An Introduction to Philosophy]], [[ASIN:B0007EW69C Man in the modern age]], [[ASIN:0226394859 Future of Mankind]], etc.<br /><br />The translator notes, \\""The essay 'Myth and Religion' by Dr. Jaspers ... was later published (in 1953)... Bultmann's reply first appeared (in 1954)... Dr. Jaspers' rejoinder was first published in an open letter...\\""<br /><br />Jaspers argues, \\""It we forget that myth is also a code language, a cipher, it loses all reference to transcendence, it becomes mere tangible presence.\\"" (Pg. 14) He suggests that Bultmann \\""alternates between empirical, philological exegesis and a theological appropriation of religion. The two opposing goals, which are the historical investigation of religion and the primary comprehension of faith, do not add up to a convincing statement, but rather collapse for lack of tension and clarity.\\"" (Pg. 28)<br /><br />Bultmann replied, \\""(Jaspers) is as convinced as I am that a corpse cannot come back to life or rise from the grave, that there are no demons and no magic causality. But how am I, in my capacity as pastor, to explain, in my sermons and classes, texts dealing with the Resurrection of Jesus in the flesh, with demons, or with magic causality? And how am I, in my capacity as theological scholar, to guide the pastor in his task by my interpretation?... When (Jaspers) says that the redemptive history... must 'be tested existentially and judged on the basis of ... the truth that arises from it in the reality of life,' I can only reply to such a vague statement by the question, 'Well, how is this done?'\\"" (Pg. 60-61)<br /><br />Jaspers then asserts in his own reply, \\""you do not go far enough... I assay the differences between us in terms of the opposition between liberalism and orthodoxy, and I conclude that your position can be defined as orthodox. The actual meaning of my lecture, however, was to asert the rights of philosophy.\\"" (Pg. 72) He concludes, \\""The greatness of Protestantism... achieves reality only in exceptional individuals... who translate into action the great moral earnestness... inherent in this faith... I see hope in the liberal faith... which as such is capable of transforming the Biblical faith in all its manifestations.\\"" (Pg. 114-115)<br /><br />Although one suspects that the two protagonists are often missing the other's point, this still a fascinating interplay between these two thinkers.a vague statement by the question, 'Well, how is this done?'\\"" (Pg. 60-61)    Jaspers then asserts in his own reply, \\""you do not go far enough... I assay the differences between us in terms of the opposition between liberalism and orthodoxy, and I conclude that your position can be defined as orthodox. The actual meaning of my lecture, however, was to asert the rights of philosophy.\\"" (Pg. 72) He concludes, \\""The greatness of Protestantism... achieves reality only in exceptional individuals... who translate into action the great moral earnestness... inherent in this faith... I see hope in the liberal faith... which as such is capable of transforming the Biblical faith in all its manifestations.\\"" (Pg. 114-115)    Although one suspects that the two protagonists are often missing the other's point, this still a fascinating interplay between these two thinkers."
6,0307157857,5,"My son has adored this book since he could sit up and look at the pictures. He is almost 2 now and will ask for it by name. The scenes unfold page after page, and you never know what the characters might encounter next! If you have a little one I ABSOLUTELY reccommend you own a Richard Scarry picture book. They are timeless, fun and creative. You can literally retell the book in a 1,000 different ways and engage your child by asking him about colors, objects, animals, shapes, etc. that are in the book."
7,0670022969,5,"Colin Woodard has written the story of North America that should be taught in school in place of the simplified, sanitized, nearly fictional versions created, like all national histories, for the purpose of welding disparate peoples into a single nation by convincing them they all share a common history.  I just got it back from loaning to a friend and re-read it.  Like other reviewers here I had read Joel Garreau's \\""Nine Nations\\"" in the 1980s and more recently Kevin Phillips' \\""The Cousins Wars\\"" and Dante Chinni's \\""Patchwork Nation\\"".  They were full of interesting information, but Nine Nations and Patchwork Nation didn't address the origins or persistence of the notable regional differences among North Americans.  I think Woodard's main thesis is that these regional cultures left their marks so deeply that we are no longer consciously aware of them, and should be.  My experience living and working in several of these \\""nations\\"" indicates that the regional differences do persist, though national media and advertising have masked them.<br /><br />Reading \\""American Nations\\"" I felt the pieces falling into place.  I am undecided on the question of just how valid the thesis of eleven rival nations is as political science, but it makes for a fine explication of our history.  And as cultural anthropology it provides the same level of explanatory power for understanding our cultural differences that the theory of evolution provided for understanding biology, or that the theory of plate tectonics did for understanding planetary-scale geologic processes.  Just as those two sciences could not advance beyond the observational phase without a theoretical framework, this third dimension of historical immigration patterns transforms a two-dimensional hodgepodge of cultural observations into a meaningful three-dimensional portrait far more illuminating than the usual North-South analysis.<br /><br />The map on the \\""American Nations\\"" cover showed me that I grew up roughly where the Deep South, Appalachia, and El Norte meet in eastern Texas.  We said we were \\""Scotch-Irish\\"" but seemed to have no knowledge of or interest in how we came to be there, nor did I ever know anyone who was aware that there were early Spanish missions in the pine woods of East Texas or that there had been a large Cherokee village not four miles from my home.  Later I learned that my own family had entered the U.S. in South Carolina from Barbados in the 1680s; little is known about them except that they were poor whites, so now we know there is a good chance they were indentured servants to Barbadian slave lords.  How many Americans know the Deep South was founded at Charleston by migrants from Barbados?  I never did. I had always lumped Tidewater, Appalachia, and the Deep South as \\""the South\\"", but distinguishing them by origin explains a lot.<br /><br />Now I have some insight into features of my county that have puzzled me for decades: why the tiny community where I attended school in the 1950s and 60s was clustered around its original plantation house, Cumberland Presbyterian church, and cotton fields (it was founded by a slave-holding family from Savannah, Georgia in the 1840s or 50s); why my neighbors had such casual contempt for blacks, Jews, Mexicans, Indians, Catholics, Chinese, and all other foreigners; why Ku Klux Klan actions were still fresh in older folks' memories; why blacks lived either in their own parts of town literally across the tracks or entirely separately in their own towns or isolated communities tucked away in the woods; why my parents were so puzzled that \\""our Negroes\\"" seemed dissatisfied with our hand-me-down clothes and an occasional pig (I recall puzzled discussions of \\""What do they want?\\"" implying lack of gratitude); why some neighbors said \\""Bide a wee\\"" for \\""stay a while\\"" or occasionally exclaimed \\""Gott in himmel!\\"" but otherwise spoke in Texas drawl; why hillfolk in remote cabins in the woods practiced subsistence hunting using antique Springfield and Henry rifles, had a near-religious devotion to one-shot kills and complete disregard for hunting season and licenses, and distilled their own liquor (Appalachians for sure!); why there was a deeply ingrained presumption that gentlemen rode horses and peasants walked, so any poor farmer that came into oil money bought horses immediately (Deep South cavaliers influence); why there was hardly any familiarity with or emphasis on attending college, and disdain for the (rare) \\""know it all college boy\\"" (Appalachian ignorance and apathy influenced by Deep South resistance to education for the masses); why employers referred to employees as \\""hands\\""; why our relatives in far southwest Texas seemed to us to live in a different country (they did - El Norte), while relatives in Tennessee and business associates in Mississippi seemed to come from an earlier and more violent time; why Cajuns in south Louisiana and southeast Texas seemed like such an anomaly in the Deep South in their Catholicism and complete disregard of racial boundaries (New France egalitarianism); maybe even why some blacks in East Texas practiced a strange mixture of Southern Baptist services and voodoo lore - one local black church was even named the Voodoo Baptist Church, and the pastor roamed the area on foot wearing an animal skin cape and carrying a long shepherd's staff (West Africa via the West Indies). Does any of this sound like growing up in Michigan?  Have you lived in a state with a state religion?  Texas has one, best characterized as southernbaptistfootball. Recognition that the region is essentially Appalachia with a strong Deep Southern influence and only faint traces of Spanish and Indian influence remaining provides the key to unlock all those scattered observations made as an ignorant but curious youth.<br /><br />Knowing the origins of Yankeedom, the Midlands, Tidewater, and the cavalier South even sheds light on why North Dakotans and Minnesotans, coastal Northern Californians, Oregonians, Washingtonians, and my in-laws in Evanston, Illinois are so similar to New England Yankees, while my prospective in-laws in northern Virginia were deeply interested in our \\""bloodlines\\"".<br /><br />Appalachia and the Deep South were of particular interest to me, but the story of the founding and migrations of El Norte, New England, New Netherland, New France, the Midlands, Tidewater, the Far West, the Left Coast, and more recently the founding of the Canadian First Nation are completely fascinating and illuminating, and leave me embarrassed at how much is new to me.  (Woodard could've made it an even dozen by including New Sweden, a Swedish colony along the Delaware River in parts of Delaware, New Jersey, and Pennsylvania from 1638 to 1655!  I guess it didn't leave enough of a cultural mark.)<br /><br />Lastly, I did not think Woodard unfairly favored the Yankees; his description showed the harsh, violent, and meddlesome parts of their Puritan cultural heritage along with the elements we still cherish (for much more detail see Fischer's \\""Albion's Seed\\"").  The key difference is that Yankees changed with the times.  Nor did I take the epilogue as an unwelcome interjection of personal opinion.  I read it as unflinching commentary that grappled with unpleasant realities and made some educated extrapolations regarding possible futures for the U.S. and North America.  Woodard is not the first to speculate along these lines of fracture, as he notes.  And I have made the same comments on \\""the Baptist equivalent of sharia law\\"" since the conservative coup of the Southern Baptist Convention in the mid-1990s.  The Deep South has been a reluctant participant in the U.S. federation and has routinely made threats to withdraw since the Articles of Confederation days; in the 2010 mid-term election we again heard southern politicians talk of secession.  That would be either puzzling or shocking without this deep background.  Can a nation-state cobbled together from Dutch, Spanish, French, and multiple waves of incompatible English colonists, along with unwilling Indians and Africans, really hold together for another 200 years?  Maybe a mutual divorce based on irreconcilable differences would eventually result in more compatible second marriages for all or even decisions that they prefer to go it alone.<br /><br />And really lastly - I've enjoyed and learned nearly as much from the reviewers and commenters here as from the book.egonians, Washingtonians, and my in-laws in Evanston, Illinois are so similar to New England Yankees, while my prospective in-laws in northern Virginia were deeply interested in our \\""bloodlines\\"".<br /><br />Appalachia and the Deep South were of particular interest to me, but the story of the founding and migrations of El Norte, New England, New Netherland, New France, the Midlands, Tidewater, the Far West, the Left Coast, and more recently the founding of the Canadian First Nation are completely fascinating and illuminating, and leave me embarrassed at how much is new to me.  (Woodard could've made it an even dozen by including New Sweden, a Swedish colony along the Delaware River in parts of Delaware, New Jersey, and Pennsylvania from 1638 to 1655!  I guess it didn't leave enough of a cultural mark.)<br /><br />Lastly, I did not think Woodard unfairly favored the Yankees; his description showed the harsh, violent, and meddlesome parts of their Puritan cultural heritage along with the elements we still cherish (for much more detail see Fischer's \\""Albion's Seed\\"").  The key difference is that Yankees changed with the times.  Nor did I take the epilogue as an unwelcome interjection of personal opinion.  I read it as unflinching commentary that grappled with unpleasant realities and made some educated extrapolations regarding possible futures for the U.S. and North America.  Woodard is not the first to speculate along these lines of fracture, as he notes.  And I have made the same comments on \\""the Baptist equivalent of sharia law\\"" since the conservative coup of the Southern Baptist Convention in the mid-1990s.  The Deep South has been a reluctant participant in the U.S. federation and has routinely made threats to withdraw since the Articles of Confederation days; in the 2010 mid-term election we again heard southern politicians talk of secession.  That would be either puzzling or shocking without this deep background.  Can a nation-state cobbled together from Dutch, Spanish, French, and multiple waves of incompatible English colonists, along with unwilling Indians and Africans, really hold together for another 200 years?  Maybe a mutual divorce based on irreconcilable differences would eventually result in more compatible second marriages for all or even decisions that they prefer to go it alone.<br /><br />And really lastly - I've enjoyed and learned nearly as much from the reviewers and commenters here as from the book."
8,193260393X,2,"I was overall, very disappointed with this book, after reading the glowing reviews. It left me with many questions that I had to look elsewhere to answer. I was surprised, because this is a lengthy book. However, it seems to be padded with personal stories. The resources section is also lacking with recommendations for further reading (which would have been helpful, considering the amount of questions I had). It just wasn't worth the money."
9,1461164591,5,"Often, you can tell on the first page whether a writer knows what he or she is doing. There's a flow, a grace to the way these writers construct their sentences that makes reading a joy.<br /><br />Ben Wretlind is one of those writers, although his story is anything but joyful. Castles: A Fictional Memoir of a Girl with Scissors, fits into the \\""magic realism\\"" category, although I did not know that when I started reading the book.<br /><br />The story begins with Maggie at age six, living in a trailer on the edge of the desert, somewhere in the US, in fear of dust storms and her drunken, abusive mother. The only light in her life comes from her Grandma, who protects her from her mother's worst and advises the young girl to listen to the voices in the wind. When Grandma dies, Maggie is literally on her own.<br /><br />Maggie learns quickly to stay out of her mother's way, not to engage with her mother's boyfriends and how to \\""clean up her messes.\\"" That's the central theme of the novel.<br /><br />This novel is one of those where you can take the possibly magical elements and view them as only symbolism, and as a childish or psychologically damaged mind's interpretation of strange events. For example, there's the old school bus on the edge of the desert, just outside the trailer park. It's irresistible forbidden adventure to children, whose parents tell them not to go inside for their own good. Of course, the kids can't resist it. It represents forbidden adventure, the dangerous wild beyond the fences, the untameable forces of nature that erode anything made by humans.<br /><br />And it's also a portal to the unknown and to the underworld. You can take it literally or as just the way that Maggie sees it. Beyond the bus is the desert. It periodically sends dust storms that smash through windows and clean up messes.<br /><br />As I said, this is not a joyful book. Maggie is abused by her mother and others, she's raped by her mother's boyfriend, her boyfriend disappears,presumably murdered, her dog is butchered and she takes a series of abusive boyfriends, herself.<br /><br />On the surface, it's a story of a girl in a very hard life, learning how to cope with pain and terror -- how to \\""clean up her mess.\\"" And she also learns how to integrate the unknown terrors of the world beyond the abandoned . Maggie learns also to listen to the wind, finally. And within the wind and the dust storms, she discovers ... well, I don't want to spoil it. Let's just say that within the storms, she finds the agents of just retribution and the strength to clean up her mess and take control of her own life.<br /><br />And yet, you can also read this as the warped interpretation of a woman forced through years of abuse to do ... again, I don't want to spoil it.<br /><br />There's a lot to like in this book. It reminds me of Palahniuk in his darker moments. Wretlind is not afraid to put his readers and his characters through horrible situations, and to describe them clearly, without pretense and without squeamishness. But if you're squeamish, you might have trouble in some parts.<br /><br />Wretlind writes with that fluid, clear, spare style that the big publishing houses all say they demand (and then publish crap that does not adhere to it). So, even though the situation was horrible, Wretlind tells the story very, very well.<br /><br />5 stars<br /><br />Highly recommended"
